index, frame_type, GPU Time, time.time()
425,0,10394871,1740586850.678636
426,0,10419740,1740586850.703545
427,2,-1000,1740586850.724937
428,1,10444608,1740586850.737098
428,1,-1000,1740586850.740035
429,0,10469476,1740586850.759100
430,0,10494345,1740586850.778667
431,0,10519212,1740586850.803069
432,0,10544080,1740586850.826711
433,0,10568949,1740586850.853375
434,0,10593821,1740586850.877311
435,0,10618685,1740586850.902064
436,0,10643553,1740586850.928016
437,0,10668421,1740586850.952278
438,0,10693289,1740586850.979184
439,0,10718158,1740586851.001687
440,0,10743025,1740586851.027600
441,0,10767893,1740586851.053276
442,0,10792762,1740586851.077729
443,0,10817631,1740586851.106416
444,0,10842500,1740586851.126208
445,0,10867366,1740586851.152869
446,0,10892234,1740586851.176391
447,0,10917102,1740586851.201690
448,0,10941970,1740586851.229161
449,0,10966841,1740586851.254499
450,0,10991707,1740586851.279393
451,0,11016575,1740586851.304489
452,0,11041443,1740586851.326541
453,0,11066313,1740586851.353090
454,0,11091180,1740586851.374604
455,0,11116047,1740586851.399956
456,0,11140916,1740586851.426739
457,0,11165783,1740586851.449169
458,0,11190651,1740586851.476907
459,0,11215522,1740586851.500231
460,0,11240388,1740586851.523955
461,0,11265256,1740586851.552773
462,0,11290125,1740586851.573438
463,0,11314992,1740586851.601123
464,0,11339862,1740586851.624285
465,0,11364728,1740586851.648060
466,0,11389598,1740586851.676381
467,0,11414465,1740586851.698780
468,0,11439332,1740586851.724730
469,0,11464202,1740586851.748287
470,0,11489069,1740586851.772928
471,0,11513945,1740586851.799519
472,0,11538805,1740586851.823284
473,0,11563673,1740586851.849008
474,0,11588542,1740586851.873499
475,0,11613409,1740586851.897332
476,0,11638278,1740586851.924070
477,0,11663146,1740586851.948465
478,0,11688013,1740586851.983289
479,0,11712884,1740586851.998284
480,0,11737750,1740586852.023533
481,0,11762618,1740586852.047369
482,0,11787486,1740586852.072825
483,0,11812354,1740586852.097479
484,0,11837222,1740586852.125262
485,0,11862092,1740586852.145771
486,0,11886958,1740586852.172531
487,0,11911828,1740586852.195946
488,2,-1000,1740586852.217704
489,1,11936695,1740586852.232160
489,1,-1000,1740586852.234137
490,0,11961564,1740586852.252837
491,0,11986431,1740586852.271921
492,0,12011299,1740586852.295441
493,0,12036167,1740586852.320007
494,0,12061035,1740586852.345541
495,0,12085904,1740586852.371986
496,0,12110772,1740586852.394308
497,0,12135640,1740586852.419463
498,0,12160508,1740586852.444681
499,0,12185376,1740586852.472560
500,0,12210244,1740586852.495754
501,0,12235113,1740586852.520660
502,0,12259982,1740586852.543893
503,0,12284850,1740586852.569418
504,0,12309717,1740586852.596187
505,0,12334585,1740586852.619179
506,0,12359453,1740586852.643935
507,0,12384321,1740586852.671430
508,0,12409196,1740586852.693265
509,0,12434058,1740586852.720746
510,0,12458928,1740586852.743536
511,0,12483794,1740586852.769380
512,0,12508662,1740586852.795841
513,0,12533533,1740586852.817260
514,0,12558398,1740586852.846311
515,0,12583268,1740586852.868107
516,0,12608134,1740586852.891727
517,0,12633002,1740586852.919080
518,0,12657871,1740586852.942261
519,0,12682738,1740586852.969347
520,0,12707608,1740586852.993009
521,0,12732475,1740586853.016208
522,0,12757343,1740586853.043112
523,0,12782213,1740586853.066250
524,0,12807079,1740586853.092932
525,0,12831949,1740586853.116614
526,0,12856815,1740586853.141662
527,0,12881683,1740586853.167281
528,0,12906552,1740586853.190759
529,0,12931420,1740586853.216983
530,0,12956288,1740586853.240623
531,0,12981156,1740586853.266996
532,0,13006024,1740586853.291805
533,0,13030893,1740586853.315673
534,0,13055760,1740586853.340697
535,0,13080629,1740586853.368791
536,0,13105498,1740586853.389889
537,0,13130364,1740586853.414182
538,0,13155233,1740586853.440672
